days,cases
1.3834573928286673, 21.4265918212659
4.310534889398113, 49.30322232261824
7.240022018375058, 59.1420330878027
10.170823492301551, 59.1420330878027
13.101624966228044, 59.1420330878027
16.032426440154538, 59.1420330878027
18.946798602211693, 182.12716765259393
21.571368134202757, 480.0244935984265
23.254611115244366, 843.7871916111799
24.133725338581925, 1243.6255290962763
24.74600145888855, 1646.4701698707286
25.228272173590334, 2025.2643843302903
25.83090976426694, 2500.260304049425
26.298321079122452, 2990.287740215368
26.49447663153328, 3516.390815853647
26.57869902139555, 3883.1598171557634
26.7885091574489, 4307.04858095575
27.000728925909748, 4712.899525019566
27.214153510574356, 5109.731559215299
27.42757809523895, 5506.5635934110305
27.76136955587838, 5999.597332866335
27.969171664925476, 6438.517613113128
28.174564141565064, 6895.475713096093
28.379956618204652, 7352.433813079058
28.580529830029235, 7845.467552534359
28.657523322668993, 8266.350013044985
28.905715460641865, 8735.333326185395
29.177229397987354, 9362.14756201729
29.27473345219098, 9961.90506824493
29.477228632721555, 10606.757123812995
29.61162301164005, 11428.981073453395
29.792919164204605, 12066.317370798053
29.7590695660992, 10990.0607932066
30.500280144273994, 14527.477663688755
29.97341210596666, 12709.666274721438
30.15631468013622, 13334.977358908653
30.34243009751578, 13936.238016780973
